zip_code,modzcta,alias_zip_codes,alias_zip_count,pop_est,manhattan_overlap_area_km2,zip_area_km2,centroid_lon,centroid_lat
10001,10001,10001|10118|10119|10199,4,23072,18.436625929522506,18.436625999975075,-73.99713752784973,40.75068819689756
10002,10002,10002,1,74993,24.550079180798278,24.551650000002113,-73.98617432369988,40.715780290816234
10003,10003,10003,1,54682,16.125019887791495,16.12502000000093,-73.98915951914798,40.73182632140092
10004,10004,10004,1,3028,4.109501391202888,4.111416000006396,-74.01303188718764,40.70374682268963
10005,10005,10005|10271,2,8831,2.0809459147885137,2.080945999985225,-74.00887013772454,40.706100043346666
10006,10006,10006,1,3454,2.711081847733549,2.711081999994308,-74.01304482551521,40.70965418686317
10007,10007,10007|10278|10279,3,7023,5.061401926658982,5.061402000003966,-74.0075438665407,40.713926579652856
10009,10009,10009,1,57925,16.911947158846463,16.913297999992455,-73.97870332016217,40.726380752888105
10010,10010,10010,1,33730,10.519305827027654,10.520675999998543,-73.98256314729427,40.73911939216535
10011,10011,10011,1,50472,17.356946887592766,17.357540000021487,-74.00006369726438,40.74169976834362
10012,10012,10012,1,23411,8.996259999994335,8.996259999994331,-73.99807110418298,40.72557986854631
10013,10013,10013,1,28709,15.10913305999715,15.109326000012075,-74.00475038221715,40.72009388553736
10014,10014,10014,1,30738,14.07030848573557,14.071741999998135,-74.00631398271307,40.734019949339945
10016,10016,10016,1,51057,14.842734152029436,14.843030000008056,-73.97831352984056,40.745175467811954
10017,10017,10017|10165|10167|10168|10169|10170|10171|10172|10173|10174|10177,11,15801,10.138100475837293,10.138178000003316,-73.97303431653818,40.752544456110236
10018,10018,10018,1,9687,8.6693361600282,8.669837999989003,-73.99269123020353,40.75520480814346
10019,10019,10019|10020|10103|10111|10112,5,43703,19.352147612184364,19.35276199998093,-73.98596605696169,40.76527839813961
10021,10021,10021,1,46215,10.625981373565066,10.626434000001824,-73.95874842273734,40.76923181397746
10022,10022,10022|10152|10153|10154,4,31125,12.318625124154929,12.318957999993692,-73.96809036623296,40.75867043230648
10023,10023,10023,1,62435,13.739237943879345,13.739238000002905,-73.98266328915808,40.77590128688145
10024,10024,10024,1,59001,23.7419699571649,23.744199999995168,-73.9748736007613,40.79208071447136
10025,10025,10025,1,92805,20.946239861689953,20.94624000000722,-73.96662200394059,40.79860701248781
10026,10026,10026,1,39363,9.285290000014575,9.285290000014575,-73.95267187161036,40.80238209922137
10027,10027,10027|10115,2,64548,24.300986665390834,24.301007150731095,-73.95320808727449,40.81179804241026
10028,10028,10028,1,47793,8.758109642037265,8.75839599999617,-73.95351392984558,40.77643234755904
10029,10029,10029,1,79597,22.597699770523445,22.599170000013967,-73.94397594689029,40.79177088033209
10030,10030,10030,1,29882,7.683043999997785,7.683043999997786,-73.94284919627681,40.81832062860018
10031,10031,10031,1,60254,18.06784124248213,18.069272000008702,-73.95003076501987,40.82528164199752
10032,10032,10032,1,64264,18.195163160624098,18.196537999987907,-73.94280234246241,40.838817563401
10033,10033,10033,1,59607,16.59383771538474,16.594560000023524,-73.93401409718453,40.85049085497582
10034,10034,10034,1,42910,30.06088378541859,30.083153999989477,-73.92404357739021,40.867173777743666
10035,10035,10035,1,35743,39.63066304350722,39.64007199996087,-73.92958939109265,40.79545582739664
10036,10036,10036|10110,2,27428,12.599841698313673,12.599842000019537,-73.98970384072067,40.75916416832019
10037,10037,10037,1,21139,7.1756687012668365,7.17661600000158,-73.93742275316686,40.81296144185613
10038,10038,10038,1,22800,7.699636119508761,7.700595999997451,-74.0023988851775,40.70968793692034
10039,10039,10039,1,27726,12.096403369740333,12.098111999993776,-73.93624475225256,40.830807823706294
10040,10040,10040,1,44571,10.606789933158728,10.606789999995389,-73.9304850738373,40.85831125722284
10044,10044,10044,1,11682,6.297627771160058,6.305195999995199,-73.94993491824783,40.761918664015916
10065,10065,10065,1,28109,10.592606959405162,10.593022000004447,-73.96313779408064,40.76461810107978
10069,10069,10069,1,5085,2.3775964981865054,2.3784920000064838,-73.9902585856978,40.775916028720594
10075,10075,10075|10162,2,23140,5.417956000004293,5.417956000004293,-73.9558825721663,40.773130889481585
10128,10128,10128,1,59256,12.724257015882602,12.725237999998972,-73.95022523273741,40.781461068080446
10280,10280,10280,1,9384,3.0199518758242525,3.0219379999973293,-74.01665640781793,40.70933454564152
10282,10282,10282,1,5593,1.7949759023384286,1.7952879999928195,-74.01507410142075,40.71640471027006
10463,10463,10463,1,71360,3.2707885671224015,43.701833999999536,-73.90650819375095,40.88082498815897
