zip_code,modzcta,alias_zip_codes,alias_zip_count,centroid_lon,centroid_lat,zip_area_km2,manhattan_overlap_area_km2,target_column,output_index
10001,10001,10001|10118|10119|10199,4,-73.99713752784973,40.75068819689756,18.436625999975075,18.436625929522503,target_ems_incident_count_zip_10001,0
10002,10002,10002,1,-73.98617432369988,40.715780290816234,24.551650000002113,24.55007918079828,target_ems_incident_count_zip_10002,1
10003,10003,10003,1,-73.98915951914798,40.73182632140092,16.12502000000093,16.125019887791495,target_ems_incident_count_zip_10003,2
10004,10004,10004,1,-74.01303188718764,40.70374682268963,4.111416000006396,4.109501391202888,target_ems_incident_count_zip_10004,3
10005,10005,10005|10271,2,-74.00887013772454,40.706100043346666,2.080945999985225,2.0809459147885137,target_ems_incident_count_zip_10005,4
10006,10006,10006,1,-74.01304482551521,40.70965418686317,2.711081999994308,2.711081847733549,target_ems_incident_count_zip_10006,5
10007,10007,10007|10278|10279,3,-74.0075438665407,40.713926579652856,5.061402000003966,5.061401926658982,target_ems_incident_count_zip_10007,6
10009,10009,10009,1,-73.97870332016217,40.726380752888105,16.913297999992455,16.911947158846463,target_ems_incident_count_zip_10009,7
10010,10010,10010,1,-73.98256314729427,40.73911939216535,10.520675999998543,10.519305827027654,target_ems_incident_count_zip_10010,8
10011,10011,10011,1,-74.00006369726438,40.74169976834362,17.357540000021487,17.356946887592766,target_ems_incident_count_zip_10011,9
10012,10012,10012,1,-73.99807110418298,40.72557986854631,8.996259999994331,8.996259999994335,target_ems_incident_count_zip_10012,10
10013,10013,10013,1,-74.00475038221715,40.72009388553736,15.109326000012077,15.10913305999715,target_ems_incident_count_zip_10013,11
10014,10014,10014,1,-74.00631398271307,40.734019949339945,14.071741999998135,14.07030848573557,target_ems_incident_count_zip_10014,12
10016,10016,10016,1,-73.97831352984056,40.745175467811954,14.843030000008056,14.842734152029436,target_ems_incident_count_zip_10016,13
10017,10017,10017|10165|10167|10168|10169|10170|10171|10172|10173|10174|10177,11,-73.97303431653818,40.75254445611024,10.138178000003316,10.138100475837293,target_ems_incident_count_zip_10017,14
10018,10018,10018,1,-73.99269123020353,40.75520480814346,8.669837999989003,8.6693361600282,target_ems_incident_count_zip_10018,15
10019,10019,10019|10020|10103|10111|10112,5,-73.98596605696169,40.76527839813961,19.35276199998093,19.352147612184364,target_ems_incident_count_zip_10019,16
10021,10021,10021,1,-73.95874842273734,40.76923181397746,10.626434000001824,10.625981373565066,target_ems_incident_count_zip_10021,17
10022,10022,10022|10152|10153|10154,4,-73.96809036623296,40.75867043230648,12.318957999993692,12.318625124154927,target_ems_incident_count_zip_10022,18
10023,10023,10023,1,-73.98266328915808,40.77590128688145,13.739238000002905,13.739237943879344,target_ems_incident_count_zip_10023,19
10024,10024,10024,1,-73.9748736007613,40.79208071447136,23.744199999995168,23.7419699571649,target_ems_incident_count_zip_10024,20
10025,10025,10025,1,-73.96662200394059,40.79860701248781,20.94624000000722,20.946239861689953,target_ems_incident_count_zip_10025,21
10026,10026,10026,1,-73.95267187161036,40.80238209922137,9.285290000014577,9.285290000014577,target_ems_incident_count_zip_10026,22
10027,10027,10027|10115,2,-73.95320808727449,40.81179804241026,24.301007150731095,24.30098666539083,target_ems_incident_count_zip_10027,23
10028,10028,10028,1,-73.95351392984558,40.77643234755904,8.75839599999617,8.758109642037265,target_ems_incident_count_zip_10028,24
10029,10029,10029,1,-73.94397594689029,40.79177088033209,22.599170000013967,22.597699770523445,target_ems_incident_count_zip_10029,25
10030,10030,10030,1,-73.94284919627681,40.81832062860018,7.683043999997786,7.683043999997785,target_ems_incident_count_zip_10030,26
10031,10031,10031,1,-73.95003076501987,40.82528164199752,18.069272000008706,18.06784124248213,target_ems_incident_count_zip_10031,27
10032,10032,10032,1,-73.94280234246241,40.838817563401,18.196537999987907,18.195163160624094,target_ems_incident_count_zip_10032,28
10033,10033,10033,1,-73.93401409718453,40.85049085497582,16.594560000023524,16.59383771538474,target_ems_incident_count_zip_10033,29
10034,10034,10034,1,-73.92404357739021,40.867173777743666,30.083153999989477,30.06088378541859,target_ems_incident_count_zip_10034,30
10035,10035,10035,1,-73.92958939109265,40.79545582739664,39.64007199996087,39.63066304350722,target_ems_incident_count_zip_10035,31
10036,10036,10036|10110,2,-73.98970384072067,40.75916416832019,12.599842000019535,12.599841698313671,target_ems_incident_count_zip_10036,32
10037,10037,10037,1,-73.93742275316686,40.81296144185613,7.17661600000158,7.1756687012668365,target_ems_incident_count_zip_10037,33
10038,10038,10038,1,-74.0023988851775,40.70968793692034,7.700595999997451,7.699636119508761,target_ems_incident_count_zip_10038,34
10039,10039,10039,1,-73.93624475225256,40.830807823706294,12.098111999993776,12.096403369740331,target_ems_incident_count_zip_10039,35
10040,10040,10040,1,-73.9304850738373,40.85831125722284,10.606789999995389,10.606789933158728,target_ems_incident_count_zip_10040,36
10044,10044,10044,1,-73.94993491824783,40.76191866401592,6.305195999995199,6.297627771160058,target_ems_incident_count_zip_10044,37
10065,10065,10065,1,-73.96313779408064,40.76461810107978,10.593022000004447,10.592606959405162,target_ems_incident_count_zip_10065,38
10069,10069,10069,1,-73.9902585856978,40.775916028720594,2.378492000006484,2.3775964981865054,target_ems_incident_count_zip_10069,39
10075,10075,10075|10162,2,-73.9558825721663,40.773130889481585,5.417956000004293,5.417956000004293,target_ems_incident_count_zip_10075,40
10128,10128,10128,1,-73.95022523273741,40.781461068080446,12.725237999998972,12.724257015882602,target_ems_incident_count_zip_10128,41
10280,10280,10280,1,-74.01665640781793,40.70933454564152,3.0219379999973293,3.0199518758242525,target_ems_incident_count_zip_10280,42
10282,10282,10282,1,-74.01507410142075,40.71640471027006,1.7952879999928195,1.7949759023384286,target_ems_incident_count_zip_10282,43
10463,10463,10463,1,-73.90650819375095,40.88082498815897,43.701833999999536,3.2707885671224015,target_ems_incident_count_zip_10463,44
